City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
294,Kheralu,IN,78.49,clear sky,23.8833,72.6167,Gopal lodg
295,Deloraine,AU,72.14,clear sky,-41.5333,146.6667,Mountain View Country Inn
299,Vao,NC,79.32,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
314,Giyani,ZA,71.98,broken clouds,-23.3025,30.7187,Kulani Country Lodge
318,Saint George,US,72.63,overcast clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
320,Mattru,SL,74.93,scattered clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
321,Emerald,AU,77.14,overcast clouds,-23.5333,148.1667,The Irish Village
323,Ormara,PK,77.09,few clouds,25.2088,64.6357,Kenara Colony house for Rent
324,Ippy,CF,71.6,overcast clouds,6.2679,21.2247,
325,Taiping,MY,78.22,overcast clouds,4.85,100.7333,Flemington Hotel
326,Malakwal,PK,77.13,clear sky,32.5536,73.2123,Green Town
328,Nsanje,MW,73.0,scattered clouds,-16.92,35.262,Nsanje Discovery Lodge
334,Airai,TL,73.18,clear sky,-8.9266,125.4092,
338,Amambai,BR,75.0,overcast clouds,-23.1042,-55.2258,Keren Hotel
340,Cacoal,BR,73.27,clear sky,-11.4386,-61.4472,Hotel BR 364
341,Bandar-E Lengeh,IR,75.67,clear sky,26.5579,54.8807,کافی نت پارس
342,Ruwi,OM,78.96,clear sky,23.5996,58.5507,Al Falaj Hotel
343,Duncan,US,75.09,clear sky,34.5023,-97.9578,Days Inn by Wyndham Duncan
344,Batemans Bay,AU,76.91,overcast clouds,-35.7167,150.1833,Batemans Bay Marina Resort
349,Salinopolis,BR,78.08,moderate rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
350,Koforidua,GH,76.89,overcast clouds,6.0941,-0.2591,Ajaria Royal Palace Hotel
353,Calderitas,MX,78.69,clear sky,18.55,-88.25,Hotel Hacienda Campestre
355,Cayenne,GF,79.09,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
357,Saint-Philippe,RE,72.99,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
367,Chabahar,IR,76.37,clear sky,25.2919,60.643,هتل گدروشیا
371,Trairi,BR,75.36,light rain,-3.2778,-39.2689,janelas do mar
374,Pucallpa,PE,74.75,scattered clouds,-8.3791,-74.5539,Hotel Sol de Oriente - Pucallpa
380,Barreirinha,BR,73.06,overcast clouds,-2.7933,-57.07,Hotel e Restaurante Tupana Iwato
381,Richards Bay,ZA,75.61,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
384,Belmonte,BR,76.93,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
386,Benguela,AO,75.65,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
404,Weligama,LK,79.16,broken clouds,5.9667,80.4167,Weligama Bay Resort
406,Oistins,BB,77.77,overcast clouds,13.0667,-59.5333,Butterfly Beach Hotel
407,Mahanoro,MG,74.5,broken clouds,-19.9,48.8,BUNGALOW MAHAMANINA
416,Paratinga,BR,74.19,clear sky,-12.6906,-43.1842,Pousada Magalhães 2
423,San Antonio,US,79.18,scattered clouds,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
427,Lago Da Pedra,BR,73.58,overcast clouds,-4.3333,-45.1667,
433,Cozumel,MX,78.01,scattered clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
440,Vila Velha,BR,78.75,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
451,Sao Felix Do Xingu,BR,72.72,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
452,Veraval,IN,77.85,clear sky,20.9,70.3667,Lords Inn Somnath
465,Acarau,BR,77.4,moderate rain,-2.8856,-40.12,castelo pizzaria
468,Tura,IN,73.78,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
471,Celestun,MX,78.53,broken clouds,20.8667,-90.4,Posada Lilia
479,Laem Sing,TH,79.14,broken clouds,12.4816,102.0738,Laemsing Whitehouse Resort
480,Nuqui,CO,78.73,light rain,5.7125,-77.2708,Hotel Nuquimar
482,Santa Cruz Del Sur,CU,79.66,light rain,20.7147,-77.9956,
485,Nosy Varika,MG,72.99,broken clouds,-20.5833,48.5333,Hotel Volazara
491,Sembe,CG,71.67,overcast clouds,1.6481,14.5806,
494,Beloha,MG,70.29,clear sky,-25.1667,45.05,
496,Ipilan,PH,79.41,overcast clouds,8.8431,117.9033,Brookes Inn
497,Barma,SL,74.21,light rain,8.35,-11.3333,
500,Tutoia,BR,77.77,overcast clouds,-2.7619,-42.2744,Pousada Guará's
501,Piacabucu,BR,77.88,clear sky,-10.4056,-36.4344,Piaçabuçu News
504,Guayaramerin,BO,73.9,clear sky,-10.8368,-65.3614,Hostal Funf
517,Cockburn Town,TC,78.33,clear sky,21.4612,-71.1419,Osprey Beach Hotel
522,Mapiripan,CO,73.74,broken clouds,2.8892,-72.1256,Monserrate
523,Mabaruma,GY,72.21,scattered clouds,8.2,-59.7833,Monty Brooms Guest House
526,Flinders,AU,78.39,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
531,Omboue,GA,76.8,overcast clouds,-1.5746,9.2618,Hotel Olako
537,Abonnema,NG,78.87,overcast clouds,4.7084,6.7931,Corper's Lodge Obonoma
543,Mayumba,GA,76.5,overcast clouds,-3.432,10.6554,LIKWALE LODGE
547,Saint-Pierre,RE,73.9,clear sky,-21.3393,55.4781,Lindsey Hôtel
555,Mehran,IR,76.87,scattered clouds,33.1222,46.1646,بوتیک زنانه بهار
556,Puerto Baquerizo Moreno,EC,78.4,overcast clouds,-0.9,-89.6,Hotel los Algarrobos
560,Piripiri,BR,73.56,overcast clouds,-4.2733,-41.7769,Califórnia Hotel
575,Laguna,US,73.69,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
582,Antalaha,MG,74.61,broken clouds,-14.9003,50.2788,Hotel Vitasoa
583,Conakry,GN,76.17,scattered clouds,9.538,-13.6773,Riviera Royal Hotel
586,Murray Bridge,AU,72.82,clear sky,-35.1167,139.2667,Balcony On Sixth Lodge
591,Bonthe,SL,76.24,scattered clouds,7.5264,-12.505,Bonthe Holiday Village
592,Mtwara,TZ,77.11,broken clouds,-10.2667,40.1833,TIL Hotels Mtwara
