City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Leningradskiy,RU,2022-04-01 17:34:04,69.3833,178.4167,-8.91,100,100,0.96
68,Jamestown,US,2022-04-01 17:34:05,42.097,-79.2353,34.52,70,100,17.27
69,Cabo San Lucas,MX,2022-04-01 17:34:06,22.8909,-109.9124,82.62,35,20,9.22
70,Butaritari,KI,2022-04-01 17:34:08,3.0707,172.7902,81.68,76,82,19.46
71,Sitka,US,2022-04-01 17:34:09,57.0531,-135.33,40.89,81,100,4.61
72,Nikolskoye,RU,2022-04-01 17:34:10,59.7035,30.7861,30.7,93,70,3.78
73,Lebu,CL,2022-04-01 17:34:11,-37.6167,-73.65,60.48,76,0,15.95
74,Lompoc,US,2022-04-01 17:33:10,34.6391,-120.4579,63.7,80,100,3.44
75,Hilo,US,2022-04-01 17:30:26,19.7297,-155.09,74.12,91,0,0.0
76,Hobart,AU,2022-04-01 17:30:11,-42.8794,147.3294,53.46,89,100,8.05
77,Araouane,ML,2022-04-01 17:34:16,18.9048,-3.5265,89.62,9,100,6.64
78,Orocue,CO,2022-04-01 17:34:17,4.7912,-71.3354,99.36,25,34,8.01
79,Najran,SA,2022-04-01 17:34:18,17.4924,44.1277,74.05,14,0,5.61
80,Tasiilaq,GL,2022-04-01 17:34:19,65.6145,-37.6368,39.36,87,77,2.3
81,Puerto Ayora,EC,2022-04-01 17:34:20,-0.7393,-90.3518,84.16,92,42,7.0
82,Ashtabula,US,2022-04-01 17:34:21,41.7001,-80.7665,38.86,79,100,14.97
83,Vao,NC,2022-04-01 17:34:23,-22.6667,167.4833,79.3,88,29,14.61
84,Comodoro Rivadavia,AR,2022-04-01 17:34:24,-45.8667,-67.5,75.06,27,0,19.57
85,Norman Wells,CA,2022-04-01 17:34:25,65.282,-126.8329,-21.96,69,20,2.3
86,New Norfolk,AU,2022-04-01 17:34:27,-42.7826,147.0587,53.92,72,100,1.99
87,Xacmaz,AZ,2022-04-01 17:34:28,41.4635,48.806,52.16,73,15,3.09
88,Puerto Colombia,CO,2022-04-01 17:34:29,10.9878,-74.9547,89.69,76,100,19.28
89,Gat,IL,2022-04-01 17:34:03,31.61,34.7642,78.4,100,100,4.54
90,Tudela,ES,2022-04-01 17:34:32,42.0617,-1.6045,41.9,57,90,21.14
91,Prince Rupert,CA,2022-04-01 17:31:13,54.3161,-130.3201,41.09,81,100,43.73
92,Kalabo,ZM,2022-04-01 17:34:34,-14.97,22.6814,73.04,74,95,4.72
93,Samarai,PG,2022-04-01 17:35:35,-10.6167,150.6667,79.66,81,100,15.46
94,Malabo,GQ,2022-04-01 17:35:36,3.75,8.7833,82.72,81,100,9.71
95,Hualmay,PE,2022-04-01 17:35:37,-11.0964,-77.6139,74.41,71,96,10.11
96,Coihaique,CL,2022-04-01 17:35:39,-45.5752,-72.0662,62.55,45,40,9.22
97,Matay,EG,2022-04-01 17:35:40,28.419,30.7792,79.92,9,100,7.43
98,Thompson,CA,2022-04-01 17:35:41,55.7435,-97.8558,17.76,73,100,14.97
99,Nizwa,OM,2022-04-01 17:31:25,22.9333,57.5333,82.26,14,0,1.81
100,Souillac,MU,2022-04-01 17:35:43,-20.5167,57.5167,77.38,94,75,17.27
101,Port Hawkesbury,CA,2022-04-01 17:35:44,45.6169,-61.3485,49.12,100,100,2.3
102,Mossendjo,CG,2022-04-01 17:35:44,-2.9506,12.7261,70.54,98,97,0.94
103,Monteagudo,BO,2022-04-01 17:35:46,-19.8167,-63.9833,72.63,31,44,5.17
104,Jalu,LY,2022-04-01 17:35:48,29.0331,21.5482,78.51,18,100,18.95
105,Hobyo,SO,2022-04-01 17:35:49,5.3505,48.5268,82.04,71,10,14.36
106,Tornio,FI,2022-04-01 17:35:50,65.8481,24.1466,21.22,87,85,5.46
107,Sioux Lookout,CA,2022-04-01 17:35:51,50.1001,-91.917,35.67,48,40,12.66
108,Port Hardy,CA,2022-04-01 17:35:52,50.6996,-127.4199,44.78,76,75,0.0
109,Sao Joao Del Rei,BR,2022-04-01 17:35:53,-21.1356,-44.2617,74.46,77,78,5.39
110,Sayat,TM,2022-04-01 17:35:54,38.7839,63.8803,62.47,19,81,10.65
111,Hithadhoo,MV,2022-04-01 17:35:55,-0.6,73.0833,83.3,71,10,7.52
112,Fairbanks,US,2022-04-01 17:35:35,64.8378,-147.7164,12.54,43,0,9.22
113,Zabol,AF,2022-04-01 17:35:58,32.25,67.25,58.39,16,0,12.3
114,Ahipara,NZ,2022-04-01 17:35:59,-35.1667,173.1667,60.66,91,12,4.68
115,Horsham,GB,2022-04-01 17:35:59,51.064,-0.3272,46.02,61,20,11.5
116,Bredasdorp,ZA,2022-04-01 17:36:01,-34.5322,20.0403,64.87,68,42,13.73
117,Zruc Nad Sazavou,CZ,2022-04-01 17:36:02,49.7401,15.1061,35.51,80,100,11.36
118,Yeppoon,AU,2022-04-01 17:36:03,-23.1333,150.7333,71.38,77,2,10.36
119,Erzin,TR,2022-04-01 17:36:06,36.9559,36.2,64.71,50,61,8.37
120,Buraydah,SA,2022-04-01 17:36:07,26.326,43.975,84.65,11,1,10.94
121,Svetlaya,RU,2022-04-01 17:36:08,46.5389,138.3297,23.05,72,13,7.87
122,Dikson,RU,2022-04-01 17:36:09,73.5069,80.5464,-0.31,93,100,7.92
123,Requena,ES,2022-04-01 17:36:12,39.4883,-1.1004,49.51,37,52,15.39
124,Mount Isa,AU,2022-04-01 17:36:12,-20.7333,139.5,74.97,29,3,12.66
125,Wanning,CN,2022-04-01 17:36:14,18.8003,110.3967,68.61,94,100,19.6
126,Qaanaaq,GL,2022-04-01 17:36:15,77.484,-69.3632,19.62,94,100,5.44
127,Santa Maria,BR,2022-04-01 17:35:46,-29.6842,-53.8069,69.1,49,40,10.36
128,Poole,GB,2022-04-01 17:35:53,50.7167,-2.0,45.37,59,20,13.8
129,Kahului,US,2022-04-01 17:36:18,20.8947,-156.47,75.85,74,20,12.66
130,Waipawa,NZ,2022-04-01 17:33:05,-41.4122,175.5153,55.99,96,100,3.44
131,Avarua,CK,2022-04-01 17:36:20,-21.2078,-159.775,73.45,94,51,1.14
132,Upernavik,GL,2022-04-01 17:36:21,72.7868,-56.1549,13.23,92,89,6.87
133,Peniche,PT,2022-04-01 17:36:22,39.3558,-9.3811,58.1,60,31,21.41
134,Marawi,PH,2022-04-01 17:36:23,7.9986,124.2928,68.79,97,80,1.52
135,Pindwara,IN,2022-04-01 17:36:24,24.8,73.0667,81.9,8,0,0.94
136,Ancud,CL,2022-04-01 17:36:25,-41.8697,-73.8203,58.01,75,27,6.2
137,Sokolo,ML,2022-04-01 17:36:26,14.7328,-6.1219,101.37,5,100,7.78
138,Jurm,AF,2022-04-01 17:36:29,36.8648,70.8342,53.01,43,0,2.48
139,Pevek,RU,2022-04-01 17:37:30,69.7008,170.3133,-17.52,100,89,5.39
140,Nanortalik,GL,2022-04-01 17:37:32,60.1432,-45.2371,40.95,77,70,4.0
141,Vilyuysk,RU,2022-04-01 17:37:32,63.7553,121.6247,19.72,88,90,9.24
142,Tuktoyaktuk,CA,2022-04-01 17:37:33,69.4541,-133.0374,-23.8,69,0,5.75
143,Marzuq,YE,2022-04-01 17:37:34,14.4,46.4667,71.17,40,0,6.51
